#
# DESCRIPTION: NuSTAR count rates for Sgr A* during the EHT campaign on 2017 April 6 and 7. For
#  details of the data processing and analysis methods, please see the documentation in this online data
#  repository and the associated publication: The EHT Collaboration et al. (2022b; ApJL, 930, L13).
#
# NOTE: Time bins are 100 s wide.
#
# COLUMNS: time (MJD), count rate (counts/s), upper limit (counts/s), lower limit (counts/s)
#
57849.8390,0.53453815,0.68781708,0.41862873
57849.8402,0.74403367,0.91368676,0.59942593
57849.8413,1.13846490,1.40229990,0.93483841
57849.8726,0.76750708,0.93971578,0.63109403
57849.8737,0.45930705,0.60073784,0.35495733
57849.8749,0.51710047,0.65770537,0.40030172
57849.8760,0.69542337,0.85608367,0.56163532
57849.8772,0.51639903,0.65834002,0.40068799
57849.8784,0.38776206,0.51399607,0.28721284
57849.8795,0.79989236,0.96839936,0.65492297
57849.8807,0.54348650,0.68748742,0.42394921
57849.8818,0.61834449,0.77593212,0.49504891
57849.8830,0.74425130,0.91594761,0.61061332
57849.8841,0.67425892,0.82902961,0.53915828
57849.8853,0.74894741,0.91305684,0.60868620
57849.8865,0.51350046,0.66006387,0.40173718
57849.8876,0.51911600,0.66338112,0.40375618
57849.8888,0.75514856,0.92580715,0.61718615
57849.8899,0.55378855,0.70030673,0.43185443
57849.8911,0.54598626,0.69806435,0.43047163
57849.8922,0.59966643,0.75200657,0.47474580
57849.8934,0.57747994,0.72556815,0.45290378
57849.8946,0.49804256,0.64545737,0.38731143
57849.8957,0.60736875,0.76520565,0.48307845
57849.8969,0.72034724,0.88691980,0.58186542
57849.8980,0.61167743,0.76889086,0.48540494
57849.8992,0.61468832,0.77415627,0.48872902
57849.9003,0.62175896,0.77595402,0.48986395
57849.9015,0.67633061,0.83499983,0.53802600
57849.9027,0.83752031,1.01042920,0.68334752
57849.9038,0.37931029,0.50789426,0.27741700
57849.9050,0.50991478,0.65864216,0.39522306
57849.9061,0.80469645,0.98354160,0.66052656
57849.9073,0.47375604,0.61660494,0.35824235
57849.9084,1.93865290,2.36710930,1.61154280
57849.9397,0.79968876,0.96835485,0.65489287
57849.9409,0.56265995,0.71372512,0.44551129
57849.9420,0.69755083,0.85525166,0.56108947
57849.9432,0.31402476,0.42690452,0.22083561
57849.9443,0.71488301,0.88378554,0.58460390
57849.9455,0.43950582,0.57207575,0.33237125
57849.9466,1.08115430,1.27638420,0.91560883
57849.9478,0.72112200,0.88492051,0.58535465
57849.9490,0.61633148,0.77339402,0.49342960
57849.9501,0.74301022,0.91840755,0.61225323
57849.9513,0.80326514,0.97224622,0.65752459
57849.9524,0.74976860,0.91244281,0.60827686
57849.9536,0.75111029,0.91380949,0.60918795
57849.9547,0.74439712,0.91429252,0.60950996
57849.9559,0.80359744,0.97808639,0.66147426
57849.9571,0.50064306,0.63737969,0.38246435
57849.9582,0.80564791,0.98392387,0.66542211
57849.9594,0.68378572,0.84418844,0.54901680
57849.9605,0.67752256,0.84368982,0.54869252
57849.9617,0.71123440,0.87407645,0.57343951
57849.9628,0.63624671,0.79489655,0.50714832
57849.9640,0.55573877,0.70850133,0.43690775
57849.9652,0.56308580,0.71283975,0.43958310
57849.9663,0.77527058,0.95153535,0.63433777
57849.9675,0.78137808,0.95072233,0.63379577
57849.9686,0.75577433,0.92389955,0.61113840
57849.9698,0.48460507,0.62861980,0.37143191
57849.9709,0.59714313,0.74703576,0.46630398
57849.9721,0.48755553,0.62834534,0.37126974
57849.9733,0.89075348,1.07530740,0.73672492
57849.9744,0.68761047,0.85839066,0.55309772
57849.9756,1.85382570,2.29422030,1.44835370
57850.0068,0.77099913,0.93918276,0.63073607
57850.0080,0.66841808,0.82717648,0.53795310
57850.0091,0.64370734,0.80101790,0.51613000
57850.0103,0.48677533,0.62906269,0.37747368
57850.0115,0.56745023,0.71478953,0.44617570
57850.0126,0.58804355,0.74251409,0.46875315
57850.0138,1.01874930,1.21922230,0.86694502
57850.0149,0.82321996,0.99765369,0.67920887
57850.0161,0.66810903,0.82840094,0.53874942
57850.0172,0.66790145,0.82814243,0.53858130
57850.0184,0.41072760,0.54363516,0.31005339
57850.0196,0.49035459,0.63024240,0.37818157
57850.0207,0.64441069,0.80371639,0.51786876
57850.0219,0.72934150,0.89289041,0.59062656
57850.0230,0.68110576,0.83702580,0.54435859
57850.0242,0.67759244,0.83469656,0.54284377
57850.0253,0.54000428,0.69220103,0.42685593
57850.0265,0.90904117,1.09427500,0.75861880
57850.0277,0.65176175,0.81275089,0.52369007
57850.0288,0.52539397,0.67158449,0.40874903
57850.0300,0.44852014,0.58912158,0.34227474
57850.0311,0.90135558,1.08887800,0.75053913
57850.0323,0.84930264,1.03221210,0.70273644
57850.0334,0.50828209,0.65509329,0.39309353
57850.0346,0.48011820,0.62716213,0.37057062
57850.0358,0.80520089,0.98239109,0.65975390
57850.0369,0.77933086,0.95363043,0.63573445
57850.0381,0.67248057,0.83537844,0.53826996
57850.0392,0.77958757,0.95528022,0.63683427
57850.0404,0.59117547,0.74653764,0.46599305
57850.0416,0.84930279,1.03113610,0.69735149
57850.0427,0.74205169,0.90311256,0.58733802
57850.0740,0.41392292,0.54266496,0.30950006
57850.0751,0.55824841,0.71456302,0.44603431
57850.0763,0.66985050,0.82733021,0.53805307
57850.0774,0.77209020,0.94050716,0.63162550
57850.0786,0.43420091,0.57202226,0.33234018
57850.0797,0.59917558,0.74302242,0.46907406
57850.0809,0.61349966,0.77135140,0.49212639
57850.0821,0.58734287,0.74335097,0.46928148
57850.0832,0.87201298,1.05352600,0.72617179
57850.0844,0.69784701,0.85578683,0.56144057
57850.0855,0.54015812,0.68688579,0.42357821
57850.0867,0.43691487,0.57212061,0.33239732
57850.0878,0.82616604,0.99951061,0.68047308
57850.0890,0.62499611,0.77863692,0.49677459
57850.0902,0.77781729,0.94729802,0.63618611
57850.0913,0.26074994,0.37093104,0.17868709
57850.0925,0.38582896,0.52069116,0.29095395
57850.0936,0.54910236,0.69266631,0.42714285
57850.0948,0.54973666,0.69726466,0.42997849
57850.0959,0.52642117,0.67459566,0.41058172
57850.0971,0.57927349,0.73494230,0.45875518
57850.0983,0.61705273,0.76719657,0.48433533
57850.0994,0.66601738,0.82879323,0.53402683
57850.1006,0.63888584,0.80274891,0.51215817
57850.1017,0.45570510,0.59669820,0.34667670
57850.1029,0.55962235,0.71715924,0.44224678
57850.1041,0.80827343,0.98340007,0.66043151
57850.1052,0.56433440,0.71612440,0.44160862
57850.1064,0.61769219,0.77781769,0.49104050
57850.1075,0.54095528,0.69006346,0.41999595
57850.1087,0.63994887,0.79394341,0.50122075
57850.1098,0.98638175,1.28480420,0.73276698
57850.1411,0.59051833,0.74228930,0.46861124
57850.1422,0.61920702,0.77035096,0.49148810
57850.1434,0.67403009,0.82772208,0.53830792
57850.1446,0.77054254,0.94018832,0.63141138
57850.1457,0.41026921,0.54298341,0.30968168
57850.1469,0.74177730,0.91267229,0.60842984
57850.1480,0.66483681,0.82767644,0.53827824
57850.1492,0.74609654,0.91291524,0.60859180
57850.1503,0.59273831,0.74341982,0.46932494
57850.1515,0.76922520,0.94019931,0.63141876
57850.1527,0.64282122,0.79991067,0.51541657
57850.1538,0.74350800,0.91308121,0.60870245
57850.1550,0.69651048,0.85900200,0.56354989
57850.1561,0.82875277,1.00250430,0.68251119
57850.1573,0.56364608,0.71913445,0.44888783
57850.1584,0.67803682,0.83215263,0.54118933
57850.1596,0.84913394,1.03360000,0.70814995
57850.1608,0.41539249,0.54982414,0.31358317
57850.1619,0.78364817,0.95274652,0.63984521
57850.1631,0.66204235,0.82204408,0.52967806
57850.1642,0.63856318,0.79205762,0.50533707
57850.1654,0.87952341,1.05735950,0.72442832
57850.1666,0.58619569,0.74016833,0.46201730
57850.1677,0.54334292,0.68340485,0.41594329
57850.1689,0.56272553,0.71558421,0.44127551
57850.1700,0.45695853,0.59831815,0.34761787
57850.1712,0.65021535,0.80698975,0.51486385
57850.1723,0.51127898,0.65742763,0.39449427
57850.1735,0.67238687,0.83807746,0.54000905
57850.1747,0.43031291,0.56782754,0.32385111
57850.1758,0.67927687,0.85371108,0.55008246
57850.1770,1.07508030,1.33423500,0.88256592
57850.2082,0.87397007,1.05102770,0.72444975
57850.2094,0.48422617,0.62911493,0.37750503
57850.2105,0.87622041,1.05219630,0.72525521
57850.2117,0.80068947,0.96662018,0.65371973
57850.2128,0.64145897,0.79983336,0.51536675
57850.2140,0.80306880,0.96780219,0.65451912
57850.2152,0.56686793,0.71568324,0.44673356
57850.2163,0.49389240,0.62953900,0.37775949
57850.2175,0.90042916,1.08054460,0.74910002
57850.2186,0.53751613,0.68694726,0.42361612
57850.2198,0.48679802,0.62914996,0.37752605
57850.2209,0.58932679,0.74423662,0.46984059
57850.2221,0.59439914,0.74380346,0.46956714
57850.2233,0.57165030,0.71795786,0.44815339
57850.2244,0.52512524,0.66355802,0.40386384
57850.2256,0.47063332,0.60829686,0.35942372
57850.2267,0.86087231,1.03560080,0.70952078
57850.2279,0.70008020,0.86514733,0.56758155
57850.2291,0.55125556,0.69559315,0.42894773
57850.2302,0.82482055,0.99257292,0.67127142
57850.2314,0.47639237,0.61781776,0.36504932
57850.2325,0.42776027,0.55919857,0.31892973
57850.2337,0.58413447,0.74219242,0.46328074
57850.2348,0.82792502,1.00737670,0.68128316
57850.2360,0.53737522,0.68559324,0.41727522
57850.2372,0.67002522,0.83378238,0.53724155
57850.2383,0.54109313,0.68754245,0.41846158
57850.2395,0.67223557,0.83799083,0.53995324
57850.2406,0.83243129,1.01403720,0.68578758
57850.2418,0.83999565,1.01400500,0.68576583
57850.2429,0.76964274,0.94946855,0.62805170
57850.2441,0.75668933,0.95307576,0.58772816
